faces repeated check info: 
original: f 13 8 16 
new: f 13 8 16 
original: f 16 8 1 
new: f 16 8 1 
original: f 8 13 14 
new: f 8 13 14 
original: f 16 1 15 
new: f 16 1 15 
original: f 14 15 3 
new: f 14 15 3 
original: f 14 3 4 
new: f 14 3 4 
original: f 3 15 2 
new: f 3 15 2 
original: f 15 1 2 
new: f 15 1 2 
original: f 4 5 12 
new: f 4 5 12 
original: f 9 4 12 
new: f 9 4 12 
original: f 9 10 7 
new: f 9 10 7 
original: f 8 14 7 
new: f 8 14 7 
original: f 14 4 7 
new: f 14 4 7 
original: f 4 9 7 
new: f 4 9 7 
original: f 12 5 11 
new: f 12 5 11 
original: f 7 10 11 
new: f 7 10 11 
original: f 7 11 6 
new: f 7 11 6 
original: f 11 5 6 
new: f 11 5 6 
original: f 2 1 18 
new: f 2 1 18 
original: f 1 17 18 
new: f 1 17 18 
original: f 3 2 18 
new: f 3 2 18 
original: f 3 18 19 
new: f 3 18 19 
original: f 4 3 19 
new: f 4 3 19 
original: f 4 19 20 
new: f 4 19 20 
original: f 5 4 20 
new: f 5 4 20 
original: f 5 20 21 
new: f 5 20 21 
original: f 5 21 6 
new: f 5 21 6 
original: f 6 21 22 
new: f 6 21 22 
original: f 7 6 22 
new: f 7 6 22 
original: f 23 7 22 
new: f 23 7 22 
original: f 23 24 7 
new: f 23 24 7 
original: f 7 24 8 
new: f 7 24 8 
original: f 24 17 1 
new: f 24 17 1 
original: f 8 24 1 
new: f 8 24 1 
original: f 23 22 27 
new: f 23 22 27 
original: f 26 23 27 
new: f 26 23 27 
original: f 23 26 25 
new: f 23 26 25 
original: f 23 25 20 
new: f 23 25 20 
original: f 27 22 21 
new: f 27 22 21 
original: f 23 20 30 
new: f 23 20 30 
original: f 30 29 24 
new: f 30 29 24 
original: f 23 30 24 
new: f 23 30 24 
original: f 24 29 32 
new: f 24 29 32 
original: f 32 31 17 
new: f 32 31 17 
original: f 31 18 17 
new: f 31 18 17 
original: f 24 32 17 
new: f 24 32 17 
original: f 40 33 48 
new: f 40 33 48 
original: f 45 40 48 
new: f 45 40 48 
original: f 40 45 46 
new: f 40 45 46 
original: f 40 46 35 
new: f 40 46 35 
original: f 35 46 47 
new: f 35 46 47 
original: f 47 48 34 
new: f 47 48 34 
original: f 48 33 34 
new: f 48 33 34 
original: f 35 47 34 
new: f 35 47 34 
original: f 36 37 44 
new: f 36 37 44 
original: f 41 36 44 
new: f 41 36 44 
original: f 35 36 39 
new: f 35 36 8 
original: f 41 42 39 
new: f 41 42 8 
original: f 40 35 39 
new: f 40 35 8 
original: f 36 41 39 
new: f 36 41 8 
original: f 39 42 43 
new: f 8 42 43 
original: f 44 37 43 
new: f 44 37 43 
original: f 39 43 38 
new: f 8 43 1 
original: f 43 37 38 
new: f 43 37 1 
original: f 34 33 50 
new: f 34 33 50 
original: f 33 49 50 
new: f 33 49 50 
original: f 35 34 50 
new: f 35 34 50 
original: f 35 50 51 
new: f 35 50 51 
original: f 36 35 51 
new: f 36 35 51 
original: f 36 51 52 
new: f 36 51 52 
original: f 37 36 52 
new: f 37 36 52 
original: f 37 52 53 
new: f 37 52 53 
original: f 37 53 38 
new: f 37 53 1 
original: f 38 53 54 
new: f 1 53 17 
original: f 39 38 54 
new: f 8 1 17 
